sid,name,slug,sector,ticker,marketCap,price,change,turnover
RPI,Hampton Sky Realty Ltd,/stocks/ritesh-properties-and-industries-RPI,Real Estate,HAMPTON,Smallcap,9.279999733,1.980000019,97736.52344
MMR,MM Rubber Company Ltd,/stocks/m-m-rubber-co-MMR,Home Furnishing,MMRUBBR-B,Smallcap,59.59999847,-0.150000006,97550.53125
TGBB,TGB Banquets and Hotels Ltd,/stocks/tgb-banquets-and-hotels-TGBB,"Hotels, Resorts & Cruise Lines",TGBHOTELS,Smallcap,8.81000042,-1.889999986,97465.03125
RISA,Risa International Ltd,/stocks/risa-international-RISA,Real Estate,RISAINTL,Smallcap,0.49000001,-3.920000076,97261.57031
MPK,M P K Steels (1) Ltd,/stocks/m-p-k-steels-i-MPK,Iron & Steel,MPKSTEELS,Smallcap,121,,96800
TIRS,Tirupati Sarjan Ltd,/stocks/tirupati-sarjan-TIRS,Real Estate,TIRSARJ,Smallcap,8.069999695,-1.590000033,96557.28125
CRAS,Cranes Software International Ltd,/stocks/cranes-software-international-CRAS,Software Services,CRANESSOFT,Smallcap,3.549999952,-1.389999986,96529.39844
CLI,Clio Infotech Ltd,/stocks/clio-infotech-CLI,Consumer Finance,CLIOINFO,Smallcap,9.630000114,4.900000095,96405.92969
ZOD,Zodiac Ventures Ltd,/stocks/zodiac-ventures-ZOD,Real Estate,ZODIACVEN,Smallcap,1.690000057,1.809999943,96374.88281
UNIQ,Unique Organics Ltd,/stocks/unique-organics-UNIQ,Packaged Foods & Meats,UNIQUEO,Smallcap,83.80000305,5.099999905,96203.52344
FAL,Falcon Technoprojects India Ltd,/stocks/falcon-technoprojects-india-FAL,Construction & Engineering,FALCONTECH,Smallcap,11.5,1.769999981,96096
MARCL,Marc Loire Fashions Ltd,/stocks/marc-loire-fashions-MARCL,Footwear,MARCLOIRE,Smallcap,39,-2.480000019,96000
SSR,SMR Jewels Ltd,/stocks/smr-jewels-SSR,"Precious Metals, Jewellery & Watches",SMR,Smallcap,95.30000305,,95300
CAPT,Capital Trust Ltd,/stocks/capital-trust-CAPT,Consumer Finance,CAPTRUST,Smallcap,13.06999969,0.379999995,94922.74219
KRID,Kridhan Infra Ltd,/stocks/kridhan-infra-KRID,Iron & Steel,KRIDHANINF,Smallcap,2.809999943,0.360000014,94778.75
RUC,IMEC Services Ltd,/stocks/imec-services-RUC,Business Support Services,IMEC,Smallcap,135,0.109999999,93979.60156
MARC,Marco Cables & Conductors Ltd,/stocks/marco-cables-and-conductors-MARC,Cables,MARCO,Smallcap,31.25,1.129999995,93810
PACE,Pace E-Commerce Ventures Ltd,/stocks/pace-e-commerce-ventures-PACE,Retail - Online,PACE,Smallcap,16,2.829999924,93600
UNIL,United Nilgiri Tea Estates Company Ltd,/stocks/united-nilgiri-tea-estates-company-UNIL,Tea & Coffee,UNITEDTEA,Smallcap,485.3999939,0.340000004,93478.89844
SHEK,Shekhawati Industries Ltd,/stocks/shekhawati-poly-yarn-SHEK,Textiles,SHEKHAWATI,Smallcap,14.39999962,1.409999967,92748.96094
