Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=${orderBy}&sortBy=DESC&dealType=${dealType}&deviceType=W&apiVersion=177,GET,MoneyControl,marketIntelService.ts:118,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,marketIntelService.ts:113,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:462,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,explore_mc_tl.py:468,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStock&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:464,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStockSectorWise&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:466,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=${limit},GET,MoneyControl,marketIntelService.ts:324,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6,GET,MoneyControl,explore_mc_tl.py:489,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=${d}&endDate=${d}&sector=&limit=${limit},GET,MoneyControl,marketIntelService.ts:301,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=2025-09-16&endDate=2025-09-16&sector=&limit=18
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate={today}&endDate={today}&sector=&limit=18,GET,MoneyControl,explore_mc_tl.py:497,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=2025-09-16&endDate=2025-09-16&sector=&limit=18
