Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://marketservices.indiatimes.com/markets/api/shareholding/v4/shareholding.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:858,,,,urls_directory.csv,UNTESTED,
https://marketservices.indiatimes.com/marketservices/mf_holding?companyid=${map.companyid},GET,Economic Times / IndiaTimes,marketData.ts:220,,,,urls_directory.csv,UNTESTED,
https://mfapps.indiatimes.com/ET_Mutual_Funds/pages/mftools/MFPortfolioHolding.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:863,,,,urls_directory.csv,UNTESTED,
https://sas.indiatimes.com/ET_Community/getBSEMarketJSON.cms?flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:894,,,,urls_directory.csv,UNTESTED,
https://sas.indiatimes.com/ET_Community/getNSEMarketJSON.cms?flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:896,,,,urls_directory.csv,UNTESTED,
https://sas.indiatimes.com/ET_Community/getTechScreenerJSON.cms,GET,Economic Times / IndiaTimes,"explore_mc_tl.py:900, explore_mc_tl.py:906",,,,urls_directory.csv,UNTESTED,
https://economictimes.indiatimes.com/markets/stocks/rss.cms,GET,Economic Times / IndiaTimes / economictimes.indiatimes.com,newsSentimentService.ts:80,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds),"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
https://economictimes.indiatimes.com/news/economy/rss.cms,GET,Economic Times / IndiaTimes / economictimes.indiatimes.com,newsSentimentService.ts:81,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds),"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
https://screener.indiatimes.com/screener/v2/screenerByScreenerIdForWeb,GET,Economic Times / IndiaTimes / screener.indiatimes.com,etnow.ts:81,"etnow_screeners, etnow_screener_stocks, screener_master","etnow.ts, etnowScreenerSync.ts",ETNow Screener Sync,"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
https://api.gdeltproject.org/api/v2/doc/doc?query=${q},GET,GDELT Project / api.gdeltproject.org,gdeltService.ts:39,"news_articles, news_sentiment_items, market_sentiment_snapshots","gdeltService.ts, newsSentimentService.ts",Exchange Announcements & Feeds,"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
