URL,HTTP Method,Provider / Domain,Code Sources / References
https://api.moneycontrol.com/mcapi/v1/stock/shareholding/pattern?scId=${scId},GET,MoneyControl,mcApiService.ts:659
https://api.moneycontrol.com/mcapi/v1/stock/technicals/v2/details?deviceType=W&scId={mcsymbol}&ex=N,GET,MoneyControl,moneycontrol_fetcher.py:355
https://api.moneycontrol.com/mcapi/v1/swot/details?scId=${scId}&type=all,GET,MoneyControl,"insightService.ts:135, mcApiService.ts:376"
https://api.moneycontrol.com/mcapi/v1/swot/details?scId={sc_id}&type=all,GET,MoneyControl,explore_mc_tl.py:382
https://api.moneycontrol.com/mcapi/v1/technical-trends/${base}/${type}?ex=N&index=${index}&page=1&order=${order}&deviceType=W&sort=${sort}&appVersion=142,GET,MoneyControl,marketData.ts:407
https://api.moneycontrol.com/mcapi/v1/technical-trends/${base}/${type}?ex=N&index=${index}&page=1&order=desc&deviceType=W&sort=performance&appVersion=142,GET,MoneyControl,marketData.ts:233
https://api.moneycontrol.com/mcapi/v1/technical-trends/${catId}?ex=N&index=${scanId}&page=1&order=desc&deviceType=W&sort=performance&appVersion=142,GET,MoneyControl,moneycontrol.ts:38
https://api.moneycontrol.com/mcapi/v1/technical-trends/{tdir}/{ttype}?ex=N&index={idx}&page=1&order={order}&deviceType=W&sort={sort}&appVersion=142,GET,MoneyControl,explore_mc_tl.py:459
https://api.moneycontrol.com/mcapi/v1/techscanner/scanner-detail,GET,MoneyControl,moneycontrolScreener.ts:191
https://api.moneycontrol.com/mcapi/v1/techscanner/scanner-detail?catId={cat_id}&scanId={scan_id},GET,MoneyControl,explore_mc_tl.py:595
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Futures&id=${id}&ExpiryDate=,GET,MoneyControl,marketIntelService.ts:417
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Futures&id={fid}&ExpiryDate=,GET,MoneyControl,explore_mc_tl.py:298
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Options&option_type=${optionType}&id=${id}&ExpiryDate=,GET,MoneyControl,marketIntelService.ts:423
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Options&option_type=${optionType}&id=${scId}&ExpiryDate=${expiry},GET,MoneyControl,marketIntelService.ts:452
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Options&option_type={opt_type}&id={fid}&ExpiryDate=,GET,MoneyControl,explore_mc_tl.py:303
https://appfeeds.moneycontrol.com/jsonapi/fno/overview?format=json&inst_type=${instType}&id=${id}&ExpiryDate=,GET,MoneyControl,fnoService.ts:258
https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id=${indId}&range=${range}&type=${type},GET,MoneyControl,"indexApiService.ts:94, marketData.ts:276"
https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id={ind_id}&range={rng}&type={gtype},GET,MoneyControl,explore_mc_tl.py:266
https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&range=1d&type=line&ind_id=in%3Bgsx,GET,MoneyControl,explore_mc_tl.py:531
https://appfeeds.moneycontrol.com/jsonapi/market/indices&format=json&ind_id=${indId},GET,MoneyControl,"indexApiService.ts:56, marketData.ts:251"
https://appfeeds.moneycontrol.com/jsonapi/market/indices&format=json&ind_id={ind_id},GET,MoneyControl,explore_mc_tl.py:248
https://appfeeds.moneycontrol.com/jsonapi/market/market_action?format=json&type=earnings&sc_id=${scId},GET,MoneyControl,marketIntelService.ts:458
https://appfeeds.moneycontrol.com/jsonapi/market/marketmap&format=json&type=${type}&ind_id=${indId},GET,MoneyControl,"indexApiService.ts:78, marketData.ts:257"
https://appfeeds.moneycontrol.com/jsonapi/market/marketmap&format=json&type={mtype}&ind_id={ind_id},GET,MoneyControl,explore_mc_tl.py:256
https://appfeeds.moneycontrol.com/jsonapi/market/marketmap?format=json&type=1&ind_id=${indId},GET,MoneyControl,marketData.ts:31
https://priceapi.moneycontrol.com/pricefeed/notapplicable/inidicesindia/${encoded},GET,MoneyControl,marketData.ts:264
https://priceapi.moneycontrol.com/pricefeed/notapplicable/inidicesindia/{enc},GET,MoneyControl,explore_mc_tl.py:251
https://priceapi.moneycontrol.com/pricefeed/nse/equitycash/${scId},GET,MoneyControl,mcApiService.ts:366
https://priceapi.moneycontrol.com/pricefeed/nse/equitycash/{mc},GET,MoneyControl,backfill_sector_mc.py:38
https://priceapi.moneycontrol.com/pricefeed/nse/equitycash/{sc_id},GET,MoneyControl,explore_mc_tl.py:355
"https://priceapi.moneycontrol.com/pricefeed/techindicator/${dur}/${map.mcsymbol}?fields=sentiments,pivotLevels,sma,ema,indicators,crossover",GET,MoneyControl,marketData.ts:13
"https://priceapi.moneycontrol.com/pricefeed/techindicator/${dur}/${scId}?fields=sentiments,pivotLevels,sma,ema,crossover,indicators",GET,MoneyControl,mcApiService.ts:354
https://priceapi.moneycontrol.com/pricefeed/techindicator/${period}/${encoded},GET,MoneyControl,"indexApiService.ts:84, marketData.ts:271"
"https://priceapi.moneycontrol.com/pricefeed/techindicator/D/${scId}?fields=sentiments,pivotLevels,sma,ema",GET,MoneyControl,insightService.ts:138
https://priceapi.moneycontrol.com/pricefeed/techindicator/{period}/{enc},GET,MoneyControl,explore_mc_tl.py:271
https://priceapi.moneycontrol.com/pricefeed/techindicator/{period}/{sc_id},GET,MoneyControl,explore_mc_tl.py:362
https://priceapi.moneycontrol.com/techCharts/indianMarket/stock/history,GET,MoneyControl,"explore_mc_tl.py:351, intraday_fetcher.py:50"
https://priceapi.moneycontrol.com/techCharts/indianMarket/stock/history?,GET,MoneyControl,moneycontrol_fetcher.py:411
https://priceapi.moneycontrol.com/techCharts/indianMarket/stock/history?symbol=${encodeURIComponent(mcSymbol)}&resolution=${resolution}&from=${from}&to=${to}&countback=329&currencyCode=INR,GET,MoneyControl,marketData.ts:116
https://priceapi.moneycontrol.com/techCharts/indianMarket/stock/history?symbol=${encodeURIComponent(mcSymbol)}&resolution=1D&from=543110400&to=${to}&countback=9869&currencyCode=INR,GET,MoneyControl,marketData.ts:118
https://www.moneycontrol.com,GET,MoneyControl,"explore_mc_tl.py:36, moneycontrol_fetcher.py:31"
